tweet_text,class
"  The citizens taking their Covid19 palliatives are not criminal. They're hungry youths, who are trying to survive with what is available",1
"DONT LOOSE CONCENTRATION!!!!!!!!!!!we re still on this""",1
"Can we crowdfund something like this so it can be used for sensitization across the 36 states?""",1
"Use your voice and drown them. Their propaganda will fail. The world is listening.""",-1
"We still have the powers to demand accountability from the federal government of Nigeria  from our homes. Don t stop asking for it""",1
"This video needs to go viral aggresively. Share on other platforms please.  """,-1
"Fowl yansh don dey open. I thought the army denied that their men were at the toll gate. """,0
"  Who ordered the shooting of peaceful protesters at lekki on the 20th of October,2020??? ",-1
"   Protest Continues In Germany, London Despite Crackdown On Demonstrators In Nigeria",1
"gave us this dope jam. A win for me. """,1
"  A 52 year old man in PDP has only a Waec certificate, no bsc or anything and someone will na come and tell me WHAT AN ELDER ",-1
"Nigerians in Italy took to the streets to denounce  !  """,-1
"E be like na one mind everybody use wake up this morning  everywhere We went on commercial break before""",0
"You can t watch this and stay silent! The people need our help! We won t be silenced.  """,1
"God bless him.The oppressed citizens we have in Nigeria are blaming protesters instead of blaming the oppressive government""",-1
"  Hey,  we saw how you helped amplify the voices of millions of Nigerians by giving them a custom emoji for the ",1
"  I am providing a palliative of 20000 each to 10 people whose shops, businesses and enterprises were either looted or damaged",1
"-  We haven t forgotten the senseless killing of the unarmed peaceful  protesters at the lekki""",-1
"  The govt be like, let them loot businesses and kill people so they'll need the police and even if we send the sars/swat",-1
  My brother Matthew lost his life during a sickle cell crisis in Nigeria when he was 10,-1
"Forensic Analysis Proves Videos Of Killings Are Genuine""",-1
"One of the  in 2014 said anytime she hears people say  abduction never happened she asks herself""",-1
"  Viewer discretion! Just like DJ Switch, someone else covered a live footage of the Lekki Massacre. This one shows vividly",0
"Remember them before you go to bed.  """,1
"Some Nigerians are so dedicated man. Any tweet they see  they just leave a comment. God bless you guys.""",1
"NEVER Heard or seen A MORE USELESS GOVERNMENT""",-1
"Emma Nyra  singing the National anthem at the Dallas  protest """,1
"The evidence is there. The theory of the case is clear. The injustice is glaring. The international attention is there""",-1
"  Ok listen. I m a fighter, always been. You knock me down 9 times? I get up 10 so it s  till it ends. Goodnight",0
"   protest in Raleigh, NC. We re all in this together. We go dey alright.  ",-1
" Alongside every police criminals, not the photoshopped one by",-1
"   FG sets up N25bn youth fund, says finance minister ",0
"  The Police man that shot innocent 17 year old Tina Ezekwe is still out there, no justice for her. This is why we are fighting",-1
"  This happened this morning at Warri,   Army shooting youth for defuncting the Curfew impose by the Governor Okowa",-1
"Paris protest day 4 was great. Biggest turnout we ve had so far. We marched in honour of all the lives lost this week  to sars""",1
"if you want them to  """,0
"  I saw a tweet that said,  we can t defeat 60 years of oppression in just 2 weeks  And just like that, my hope was reborn. ",1
"  CHICAGO: Protest &amp; Prayer Walk for Nigeria - Candlelight ServiceDemands: End SARS, End Police Brutality, Reform the Police",1
"  I appeal to  to guarantee the fundamental freedoms of peaceful protesters in Nigeria, including their right to protest",1
"Any of  Protesters who senses that the goons of  are trailing them for arrest should please raise an alarm""",-1
"A TRAP!!!!!!!!!!!! Young Nigerians with  banners or boards in their trunk are being arrested by soldiers at the VGC""",-1
"Seun Kuti should be protected at all costs!! Coz I mean this guy is spitting facts upon facts!    """,1
"  You see this sars? We must end it. By hook or by crook. By protesting or by educating. Whether they like it or not, Sars must end",-1
"Those Who Were Shot At  Have Questions To Answer. They Could Be Criminals -Tinubu Is this man high on drug?""",-1
"    Stay Strong, Stay Safe,  Arsenal Send Message To Nigerian Fans ",1
"  For Oke and the brave men and women of the Lekki Tollgate, I cannot stop, I will not stop. Neither should you.",1
"  JUST IN: Looting is not a protest. If you are looting your brother s business, you are not more than the SARS guys we are protesting against",1
"  If this pops on your timeline, just retweet don't say anything  ",0
"No comment just a RETWEET to appreciate this Nigerian Airforce Officer for such a show of professionalism""",1
"  Hey,  we saw how you helped amplify the voices of millions of Nigerians by giving them a custom emoji, thanks",1
"Shoutout to our brothers in Toronto Canada who show love to their love once who was shot by the Nigeria soldiers in a peaceful protest""",1
"  This is a Journalist with the Nigerian Television Authority, NTA, the Nigerian Govt owned Propaganda media but she went ahead and spoke the truth",1
"Nobody has resigned. Nobody has been sacked. Nobody has been arrested. People were shot in Lekki. People were shot in Surulere""",-1
"  Lekki happened, it was a massacre, it was a genocide and the highest authorities in the land ordered it",-1
"   FG To Set Up N25bn Youth Fund, As Kaduna Holds Stakeholders Meeting ",1
"It will cost you nothing to retweet this. """,0
"No better words.""",0
"SARS are back on the streets """,0
"Don t forget that Dj Switch saved BBN party and her country in one year """,1
  Its been 2wks since  was murdered by  and not a single arrest made,-1
"Latest on the situation in  : Amnesty confirms 12  protestors were killed by soldiers in Lagos 2 nights ago""",-1
"Bonny camp ARMY just left the barrack Witt fully loaded Force, I don't know where they are moving to but I guess lekki",-1
"Throw back and a gentle reminder that the  protest was very peaceful until a certain governor invited thugs to distrupt it""",-1
"All these palliatives locations suddenly released to the public is a deliberate distraction tactic""",-1
"  If this pops on your timeline, retweet with ANGER    ",-1
"  If Sars officials are back on the road, let's take pictures on them with filters that show date.Else the government will deny it",-1
"Protests are still ongoing in different places. The least we can do is amplify  tweets.""",1
"No government should send soldiers or policemen to shoot or arrest those looting  palliatives from warehouses.""",-1
"They know if we're united we would have one voice, If we have one voice, we have power ",1
"  Fellow Nigerians. Let's see the  protests as the beginning of the notion that as a people,we have the power to rally againt the government",-1
"  Sarz don resume work for Street, Make we self Resume!!Wahala for person wey no Retweet!ASUU",-1
"Learn about the  HISTORY REPEATS ITSELF AGAIN  WATCH and LEARN """,1
"Kudos to these guys!!!. Sensitization has started.  """,1
"Whom the gods wish to destroy .. they first make mad. """,-1
"Woke up realising that people died for this and it doesn't seem right for us to have moved on so seamlessly. People died. """,-1
"You eased up the Curfew but SARS are still on the street? We ve not given up ooo """,1
This is the coloured photo. Thank you,1
"We are not going to ignore Lekki Massacre. We are not going to ignore Lekki Massacre. We are not going to ignore leki""",1
"Video evidence exposes how unarmed peaceful protesters were  deliberately killed by   for awareness!  """,-1
"The turnout was insane  """,1
  Protests are still taking place in other parts of Nigeria. This movement is bigger than Lagos.,-1
"  You don t need to say anything, just  When you see it.  ",-1
"Let s not forget brothers and sisters who died fighting for a better and safer Nigeria for all of us. """,-1
"  Every time I come across this picture, my heart melts We can't let our people down, we must  ",1
"Yes basically It means to end police brutality SARS (Special Anti- Robbery Squad) was created to pretect to to kill civilians""",-1
"  Hey,  we saw how you helped amplify the voices of millions of Nigerians by giving them a custom emoji for the   movement",1
"  The SARS guys on the streets, who gave them the order? How can you claim to dissolve and disband but we still see?",-1
"  Internet is down, Twitter retweet button is not working!     ",-1
"  Contrary to what the government is saying, doctors confirm casualties and deaths from the Lekki shooting. ",-1
"  Last night, we had a candlelight vigil at the Nigerian Embassy in Washington DC to honor the souls of our compatriots who went down",-1
"Forensic Analysis Proves Videos Of Killings Are Genuine please spread it for everyone to see  """,-1
"Nigerians in Canada honour those who lost their lives fighting for  Toronto Canada Candle Light  """,1
"Unconfirmed report that police allegedly attack a vanguard reporter.    """,1
"  People are being arrested for having  placards in their boot at VGC, by soldiers! I saw this with my own eyes!! please help",-1
"PHOTOS: How persons with disability defied the odds to protest against police brutality | TheCable """,-1
"Back at it!!! Nigerian government!!!!  .""",0
"Just heard    news on Canadian radio station. It was accurately reported. The fight is not over""",-1
"Protests are still ongoing in several parts of the country and abroad. Nigeria doesn t start or end in Lagos. """,-1
"London  protesters take to the streets. """,-1
"This is the face of the man who killed 17yr old Ifunanya Amadike in 2018. His name is CSP Eyo AKA Calabar. """,-1
"Another thing. All eyewitness accounts tallied. There was no loophole or gaps in their story.""",1
"The trauma of it all. This why our parents never healed """,-1
"I hope there are human rights lawyers preparing themselves to take on the Lekki Massacre case in an international court""",0
"This one took an oath to save lives.      """,1
"Another beautiful day to """,0
"protests going strong here in  Turnout is impressive. """,1
"Facts!!!Another strategy to distract the youths    """,-1
"Footage of the army going to the toll-gate on the day of   """,0
"Gaslighting a whole nation? Are you not angry? Do you still want to move around in fear of being harassed? """,-1
"We were too busy dancing to take in what he was actually saying! """,-1
"People died to end this nonsense but here we are again  """,-1
"the protest will die a natural death.  """,1
"  SARS have resumed, omo protest don resume be that o because I CANNOT go back that police brutality life. ",1
"  Plateau State Govt denies hoarding COVID-19 palliatives, says  protests delayed distribution process",-1
"Nigerians in London are not backing down on the  protest.  According  to  they are trekking through central Lagos""",-1
"Remember the goal  Good night""",0
"It saddens my heart that people are already forgetting that we are still in this fight!!!""",-1
"  I don t support looting, but the video of people sharing  palliatives they got from a government warehouse to the pulic is okay",-1
"   Mississauga, CanadaRemain focusedGive them the international disgrace they re looking for!  ",-1
"  You see that energy we brought with us the first week of this  campaign, let s bring it back",1
Seeing my people suffer like this is heartbreaking  right now  we all need to continue to make awareness,1
"It s still fuck the police, fuck the Nigerian Government, RIP to the dead warriors and ",-1
It will cost you $0 to retweet these  pictures,-1
"  A baby in this school is constantly molested by her dad, she s just 11 in primary 5. Please if you know who can help out",-1
Where can we donate to help,1
We know this card all too well. The victim blaming card. The  What we re you wearing  card . The rot is bloody deep !,-1
The  protests created an unprecedented awareness in the land and exposed the wickedness of our e ,1
Another video evidence. They can't hide everything. Please I beg you retweet!!!!!!,1
The  I always knew this would happen  response to the  protests really rankles me,-1
The narrative has changed. Life is getting back to normal. Is this the end of that once beautiful movement?,-1
"  Police brutality is a feature, not a bug of ALL colonial systems.",-1
This is not a concert! This is not a political rally!This is not a religious event! This is a gathering of thousands,-1
I m glad to see that the  movement is coming back in full force. Keep on retweeting this,1
"  I am going back to tweeting  , if we cannot protest again offline, surely we can keep the online protest going",1
I love the energy. You cannot set your house on fire and run ro another man s house to enjoy peace.. ,1
Jack didn t customize a logo for our hashtag for us to give up!!!,-1
The monsters you made.,-1
found this thread on ig that s rly helpful and informative as to what is happening in Nigeria rn (1/2) ,1
Many report have been that they came from this Bonny Camp,0
"  Are you tired?? SARS are back on the streets, let's bring  back to the trend table. Retweet aggressively!!",-1
Hausa version for my northern brothers,0
Nigerian Airforce sensible humans. I can t love you less,1
"  If I know you and you are part of the people that looted someone s store. On God, I ll snitch on you without thinking about it",-1
Have you made a tweet using  today? No? Please do.,0
why aren t you tweeting  ? remember we haven t won the battle yet,0
Protests are still ongoing in different places. The least we can do is amplify  tweets.,1
this is not a trend that dies out rt to raise awareness.,-1
   The labour of our heroesShall never be in vain     ,1
